iter	Passed	Remaining
718	34113	13332
719	34161	13285
720	34209	13237
721	34254	13189
722	34297	13140
723	34345	13093
724	34391	13044
725	34436	12996
726	34487	12950
727	34539	12904
728	34582	12855
729	34651	12816
730	34710	12773
731	34756	12725
732	34802	12677
733	34850	12629
734	34900	12583
735	34950	12536
736	34996	12488
737	35043	12440
738	35078	12389
739	35123	12340
740	35169	12292
741	35209	12242
742	35253	12194
743	35300	12146
744	35342	12097
745	35387	12048
746	35431	12000
747	35466	11948
748	35512	11900
749	35560	11853
750	35605	11805
751	35651	11757
752	35701	11710
753	35749	11663
754	35795	11615
755	35841	11568
756	35890	11520
757	35935	11472
758	35979	11424
759	36026	11376
760	36067	11327
761	36112	11279
762	36156	11230
763	36200	11182
764	36248	11135
765	36295	11087
766	36342	11040
767	36386	10991
768	36432	10944
769	36481	10896
770	36528	10849
771	36570	10800
772	36618	10753
773	36659	10704
774	36702	10655
775	36749	10608
776	36796	10560
777	36840	10512
778	36888	10465
779	36934	10417
780	36978	10369
781	37022	10320
782	37070	10273
783	37115	10225
784	37163	10178
785	37210	10131
786	37256	10083
787	37304	10036
788	37349	9988
789	37394	9940
790	37440	9892
791	37487	9845
792	37528	9796
793	37572	9747
794	37617	9700
795	37662	9652
796	37712	9605
797	37757	9557
798	37804	9510
799	37854	9463
800	37901	9416
801	37949	9368
802	37992	9320
803	38035	9272
804	38080	9224
805	38133	9178
806	38185	9132
807	38233	9085
808	38278	9037
809	38324	8989
810	38369	8941
811	38412	8893
812	38457	8845
813	38508	8799
814	38555	8751
815	38597	8703
816	38654	8658
817	38700	8610
818	38747	8563
819	38792	8515
820	38827	8465
821	38872	8417
822	38916	8369
823	38962	8322
824	39007	8274
825	39053	8226
826	39104	8180
827	39145	8131
828	39199	8085
829	39243	8037
830	39291	7990
831	39334	7942
832	39384	7895
833	39426	7847
834	39477	7800
835	39524	7753
836	39571	7706
837	39619	7659
838	39666	7611
839	39716	7565
840	39752	7515
841	39801	7468
842	39843	7420
843	39894	7373
844	39935	7325
845	39981	7277
846	40030	7231
847	40073	7183
848	40119	7135
849	40165	7087
850	40214	7041
851	40262	6993
852	40306	6946
853	40356	6899
854	40401	6851
855	40447	6804
856	40494	6756
857	40542	6709
858	40587	6662
859	40635	6615
860	40682	6567
861	40727	6520
862	40770	6472
863	40815	6424
864	40859	6376
865	40908	6329
866	40948	6281
867	40997	6234
868	41042	6187
869	41087	6139
870	41133	6092
871	41183	6045
872	41230	5998
873	41277	5950
874	41323	5903
875	41370	5856
876	41418	5808
877	41463	5761
878	41507	5713
879	41561	5667
880	41606	5619
881	41650	5572
882	41696	5524
883	41739	5477
884	41781	5429
885	41828	5382
886	41873	5334
887	41920	5287
888	41968	5240
889	42015	5192
890	42064	5145
891	42112	5098
892	42155	5051
893	42204	5004
894	42253	4957
895	42302	4910
896	42350	4862
897	42393	4815
898	42430	4766
899	42477	4719
900	42522	4672
901	42569	4625
902	42618	4578
903	42660	4530
904	42710	4483
905	42761	4436
906	42805	4389
907	42853	4341
908	42897	4294
909	42945	4247
910	42986	4199
911	43032	4152
912	43077	4104
913	43123	4057
914	43166	4010
915	43213	3962
916	43264	3916
917	43307	3868
918	43351	3820
919	43393	3773
920	43438	3725
921	43483	3678
922	43524	3630
923	43576	3584
924	43625	3537
925	43677	3490
926	43730	3443
927	43775	3396
928	43822	3349
929	43903	3304
930	43952	3257
931	43996	3210
932	44045	3162
933	44090	3115
934	44139	3068
935	44187	3021
936	44229	2973
937	44277	2926
938	44327	2879
939	44369	2832
940	44416	2784
941	44468	2737
942	44514	2690
943	44561	2643
944	44605	2596
945	44651	2548
946	44692	2501
947	44741	2454
948	44783	2406
949	44832	2359
950	44877	2312
951	44924	2265
952	44965	2217
953	45011	2170
954	45053	2122
955	45098	2075
956	45140	2028
957	45180	1980
958	45225	1933
959	45270	1886
960	45317	1839
961	45361	1791
962	45408	1744
963	45453	1697
964	45487	1649
965	45533	1602
966	45578	1555
967	45620	1508
968	45666	1460
969	45712	1413
970	45760	1366
971	45808	1319
972	45852	1272
973	45896	1225
974	45944	1178
975	45996	1131
976	46044	1083
977	46095	1036
978	46143	989
979	46194	942
980	46238	895
981	46287	848
982	46333	801
983	46380	754
984	46427	707
985	46476	659
986	46523	612
987	46570	565
988	46612	518
989	46655	471
990	46702	424
991	46743	376
992	46789	329
993	46838	282
994	46883	235
995	46929	188
996	46975	141
997	47023	94
998	47069	47
999	47115	0
